from_node_token,from_node_Case,from_node_Number,from_node_Person,from_node_PronType,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_Tense,from_node_VerbForm,to_node_Case,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,from_node_Mood,to_node_Gender,to_node_Degree,from_node_Voice,to_node_NumType,from_node_NumType,from_node_Degree,to_node_Poss,from_node_Poss,to_node_Tense,to_node_VerbForm,from_node_Gender,to_node_Mood,to_node_Voice,to_node_Reflex,to_node_Foreign
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d2253,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,time.n.08,,Time,en/p12/d2253,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,problem.n.02,obj,Theme,en/p12/d2253,Past,Fin,,Sing,,,problem,NOUN,NN,Ind,,,,,,,,,,,,,,,
tackle.v.01,,,,,tackle,VERB,VBD,immediately.r.01,advmod,Manner,en/p12/d2253,Past,Fin,,,,,immediately,ADV,RB,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,flower_bed.n.01,obl,Agent,en/p12/d2513,Past,Fin,,Sing,,,bed,NOUN,NN,Ind,,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,time.n.08,,Time,en/p12/d2513,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,female.n.02,nsubj,Theme,en/p12/d2513,Past,Fin,Nom,Sing,3,Prs,she,PRON,PRP,Ind,Fem,,,,,,,,,,,,,,
plant.v.01,,Sing,3,,plant,VERB,VBD,pansy.n.01,obj,Destination,en/p12/d2513,Past,Fin,,Plur,,,pansy,NOUN,NNS,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2513,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Name,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,time.n.08,,Theme,en/p12/d2518,Past,Part,,,,,,,,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,female.n.02,nsubj,Time,en/p12/d2518,Past,Part,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,female.n.02,obl,Destination,en/p12/d2518,Past,Part,,Sing,,,Boston,PROPN,NNP,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,TPR,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Boston,PROPN,NNP,Boston,,Name,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Acc,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
love.v.01,,Sing,,,love,NOUN,NN,person.n.01,nsubj,Experiencer,en/p12/d0875,,,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,,
love.v.01,,Sing,,,love,NOUN,NN,person.n.01,obl,Time,en/p12/d0875,,,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,,
love.v.01,,Sing,,,love,NOUN,NN,time.n.08,,Stimulus,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d3079,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,time.n.08,,Time,en/p12/d3079,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,soup.n.01,obl,Theme,en/p12/d3079,Past,Fin,,Sing,,,soup,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,farm.n.01,obl,Theme,en/p12/d1850,Pres,Fin,,Sing,,,farm,NOUN,NN,Ind,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,time.n.08,,Time,en/p12/d1850,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,cow.n.01,nsubj,Location,en/p12/d1850,Pres,Fin,,Plur,,,cow,NOUN,NNS,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1850,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,,
friend.n.01,,Sing,,,friend,NOUN,NN,old.a.01,amod,TPR,en/p12/d0877,,,,,,,old,ADJ,JJ,,,Pos,,,,,,,,,,,,,
invite.v.02,,,,,invite,VERB,VBN,person.n.01,nsubj:pass,Theme,en/p12/d0877,Past,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,Pass,,,,,,,,,,,,
invite.v.02,,,,,invite,VERB,VBN,friend.n.01,obl,Time,en/p12/d0877,Past,Part,,Sing,,,friend,NOUN,NN,,,,Pass,,,,,,,,,,,,
invite.v.02,,,,,invite,VERB,VBN,time.n.08,,Agent,en/p12/d0877,Past,Part,,,,,,,,,,,Pass,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Role,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d3517,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,dollar.n.01,obj,Time,en/p12/d3517,Past,Fin,,Plur,,,dollar,NOUN,NNS,Ind,,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,male.n.02,iobj,Beneficiary,en/p12/d3517,Past,Fin,Acc,Sing,3,Prs,he,PRON,PRP,Ind,Masc,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,time.n.08,,Theme,en/p12/d3517,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
dollar.n.01,,Plur,,,dollar,NOUN,NNS,thousand,nummod,TPR,en/p12/d3517,,,,,,,thousand,,CD,,,,,Card,,,,,,,,,,,
time.n.08,,,,,,,,now,,Quantity,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Plur,1,Prs,we,PRON,PRP,speaker,,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,person.n.01,nsubj,Agent,en/p12/d3346,Pres,Fin,Nom,Plur,1,Prs,we,PRON,PRP,Ind,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,time.n.08,,Time,en/p12/d3346,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,rice.n.01,obj,Product,en/p12/d3346,Pres,Fin,,Sing,,,rice,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,,
one.n.01,,,,,one,NUM,CD,score.n.03,nsubj,Theme,en/p12/d1918,,,,Sing,,,score,NOUN,NN,,,,,,Card,,,,,,,,,,
one.n.01,,,,,one,NUM,CD,time.n.08,,Co-Theme,en/p12/d1918,,,,,,,,,,,,,,,Card,,,,,,,,,,
time.n.08,,,,,,,,now,,Value,en/p12/d1918,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Acc,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,someone.n.01,nsubj,Agent,en/p12/d0789,Pres,Part,,Sing,,,someone,PRON,NN,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,person.n.01,obj,Time,en/p12/d0789,Pres,Part,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,time.n.08,,Theme,en/p12/d0789,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,Sing,3,,buy,VERB,VBD,male.n.02,nsubj,Agent,en/p12/d2043,Past,Fin,Nom,Sing,3,Prs,he,PRON,PRP,Ind,Masc,,,,,,,,,,,,,,
buy.v.01,,Sing,3,,buy,VERB,VBD,vegetable.n.01,obj,Time,en/p12/d2043,Past,Fin,,Plur,,,vegetable,NOUN,NNS,Ind,,,,,,,,,,,,,,,
buy.v.01,,Sing,3,,buy,VERB,VBD,time.n.08,,Theme,en/p12/d2043,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
vegetable.n.01,,Plur,,,vegetable,NOUN,NNS,fruit.n.01,conj,TPR,en/p12/d2043,,,,Sing,,,fruit,NOUN,NN,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Sub,en/p12/d2043,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2068,,,,,,,,,,,,,,,,,,,,,,,,,
unload.v.02,,,,,unload,VERB,VBG,box.n.01,obj,Source,en/p12/d2068,Pres,Part,,Plur,,,box,NOUN,NNS,,,,,,,,,,,,,,,,
unload.v.02,,,,,unload,VERB,VBG,time.n.08,,Time,en/p12/d2068,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
unload.v.02,,,,,unload,VERB,VBG,ship.n.01,nsubj,Theme,en/p12/d2068,Pres,Part,,Sing,,,ship,NOUN,NN,,,,,,,,,,,,,,,,
year.n.01,,Plur,,,year,NOUN,NNS,eight,nummod,EQU,en/p12/d3094,,,,,,,eight,,CD,,,,,Card,,,,,,,,,,,
time.n.08,,,,,,,,now,,Unit,en/p12/d3094,,,,,,,,,,,,,,,,,,,,,,,,,
old.a.01,,,,,old,ADJ,JJ,male.n.02,nsubj,Theme,en/p12/d3094,,,Nom,Sing,3,Prs,he,PRON,PRP,,Masc,,,,,Pos,,,,,,,,,
old.a.01,,,,,old,ADJ,JJ,year.n.01,obl:npmod,Time,en/p12/d3094,,,,Plur,,,year,NOUN,NNS,,,,,,,Pos,,,,,,,,,
old.a.01,,,,,old,ADJ,JJ,time.n.08,,Value,en/p12/d3094,,,,,,,,,,,,,,,,Pos,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,female.n.02,nsubj,Theme,en/p12/d1466,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,old.a.01,amod,Time,en/p12/d1466,,,,,,,old,ADJ,JJ,,,Pos,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,time.n.08,,Co-Theme,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Quantity,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,female.n.02,nsubj,Agent,en/p12/d2357,Pres,Part,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,time.n.08,,Time,en/p12/d2357,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,laundry.n.01,obj,Patient,en/p12/d2357,Pres,Part,,Sing,,,laundry,NOUN,NN,,,,,,,,,,,,,,,,
laundry.n.01,,Sing,,,laundry,NOUN,NN,female.n.02,,User,en/p12/d2357,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2736,,,,,,,,,,,,,,,,,,,,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,one.n.01,nsubj,AttributeOf,en/p12/d2736,,,,Sing,,,one,NOUN,NN,,,,,,,Pos,,,,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,time.n.08,,Time,en/p12/d2736,,,,,,,,,,,,,,,,Pos,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d0902,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,time.n.08,,Time,en/p12/d0902,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,handkerchief.n.01,obj,Patient,en/p12/d0902,Past,Fin,,Sing,,,handkerchief,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,TB,PROPN,NNP,TB,,EQU,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,female.n.02,nsubj,Co-Theme,en/p12/d1394,,,,Sing,,,TB,PROPN,NNP,,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,time.n.08,,Time,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Acc,Sing,1,Prs,I,PRON,PRP,speaker,,Role,en/p12/d2699,,,,,,,,,,,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,person.n.01,iobj,Agent,en/p12/d2699,Past,Fin,Acc,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,soldier.n.01,nsubj,Time,en/p12/d2699,Past,Fin,,Sing,,,soldier,NOUN,NN,Ind,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,time.n.08,,Recipient,en/p12/d2699,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,water.n.06,obj,Theme,en/p12/d2699,Past,Fin,,Sing,,,water,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2699,,,,,,,,,,,,,,,,,,,,,,,,,
rooster_crow.n.01,,Plur,,,crow,NOUN,NNS,time.n.08,,Time,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,,
girl.n.01,,Sing,,,girl,NOUN,NN,young.a.01,amod,Attribute,en/p12/d3475,,,,,,,young,ADJ,JJ,,,Pos,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3475,,,,,,,,,,,,,,,,,,,,,,,,,
sing.v.02,,,,,sing,VERB,VBG,girl.n.01,nsubj,Agent,en/p12/d3475,Pres,Part,,Sing,,,girl,NOUN,NN,,,,,,,,,,,,,,,,
sing.v.02,,,,,sing,VERB,VBG,time.n.08,,Time,en/p12/d3475,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
much.a.01,,,,,much,ADJ,JJ,ticket.n.01,nsubj,Value,en/p12/d2543,,,,Sing,,,ticket,NOUN,NN,,,,,,,Pos,,,,,,,,,
much.a.01,,,,,much,ADJ,JJ,time.n.08,,Time,en/p12/d2543,,,,,,,,,,,,,,,,Pos,,,,,,,,,
much.a.01,,,,,much,ADJ,JJ,how.r.01,advmod,Theme,en/p12/d2543,,,,,,Int,how,ADV,WRB,,,,,,,Pos,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2543,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d3026,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,yen.n.02,obj,Time,en/p12/d3026,Past,Fin,,Plur,,,yen,NOUN,NNS,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,time.n.08,,Asset,en/p12/d3026,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,atlas.n.02,obl,Theme,en/p12/d3026,Past,Fin,,Sing,,,atlas,NOUN,NN,Ind,,,,,,,,,,,,,,,
yen.n.02,,Plur,,,yen,NOUN,NNS,2000,nummod,TPR,en/p12/d3026,,,,,,,2000,,CD,,,,,Card,,,,,,,,,,,
time.n.08,,,,,,,,now,,Quantity,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2609,,,,,,,,,,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,rainforest.n.01,obj,Causer,en/p12/d2609,Pres,Part,,Sing,,,rainforest,NOUN,NN,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,time.n.08,,Time,en/p12/d2609,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,palm_oil.n.01,nsubj,Patient,en/p12/d2609,Pres,Part,,Sing,,,oil,NOUN,NN,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1641,,,,,,,,,,,,,,,,,,,,,,,,,
consider.v.03,,,,,consider,VERB,VBG,tax_cut.n.01,obj,Agent,en/p12/d1641,Pres,Part,,Plur,,,cut,NOUN,NNS,,,,,,,,,,,,,,,,
consider.v.03,,,,,consider,VERB,VBG,time.n.08,,Time,en/p12/d1641,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
consider.v.03,,,,,consider,VERB,VBG,government.n.01,nsubj,Theme,en/p12/d1641,Pres,Part,,Sing,,,government,NOUN,NN,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Romano,PROPN,NNP,Romano,,Name,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,female.n.02,nsubj,Agent,en/p12/d0761,Pres,Fin,,Sing,,,Romano,PROPN,NNP,Ind,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,primary.n.01,obj,Time,en/p12/d0761,Pres,Fin,,Plur,,,primary,NOUN,NNS,Ind,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,time.n.08,,Theme,en/p12/d0761,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
primary.n.01,,Plur,,,primary,NOUN,NNS,Italian.a.01,amod,EQU,en/p12/d0761,,,,,,,Italian,ADJ,JJ,,,Pos,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Location,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,SubOf,en/p12/d3066,,,,,,,,,,,,,,,,,,,,,,,,,
yellow.a.01,,,,,yellow,ADJ,JJ,time.n.08,,ColourOf,en/p12/d3066,,,,,,,,,,,,,,,,Pos,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d1112,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,time.n.08,,Time,en/p12/d1112,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,female.n.02,obl,Theme,en/p12/d1112,Past,Fin,Acc,Sing,3,Prs,she,PRON,PRP,Ind,Fem,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d0949,Past,Fin,Nom,,2,Prs,you,PRON,PRP,Ind,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,time.n.08,,Time,en/p12/d0949,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,macaw.n.01,obj,Theme,en/p12/d0949,Past,Fin,,Sing,,,macaw,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,,
make.v.06,,Sing,3,,make,VERB,VBZ,time.n.08,,Time,en/p12/d3548,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
make.v.06,,Sing,3,,make,VERB,VBZ,mistake.n.01,obj,Theme,en/p12/d3548,Pres,Fin,,Plur,,,mistake,NOUN,NNS,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3548,,,,,,,,,,,,,,,,,,,,,,,,,
parent.n.01,,Plur,,,parent,NOUN,NNS,person.n.01,nmod:poss,Role,en/p12/d0869,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,,,Yes,,,,,,,,
person.n.01,,Sing,1,Prs,my,PRON,PRP$,speaker,,Of,en/p12/d0869,,,,,,,,,,,,,,,,,,Yes,,,,,,,
female.n.02,,Sing,,,China,PROPN,NNP,parent.n.01,nsubj,Theme,en/p12/d0869,,,,Plur,,,parent,NOUN,NNS,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,China,PROPN,NNP,time.n.08,,Source,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Name,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,Name,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
book.n.02,,Sing,,,book,NOUN,NN,time.n.08,,Theme,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
book.n.02,,Sing,,,book,NOUN,NN,female.n.02,nmod,Time,en/p12/d1856,,,,Sing,,,Adolf,PROPN,NNP,,,,,,,,,,,,,,,,
book.n.02,,Sing,,,book,NOUN,NN,female.n.02,nsubj,Co-Theme,en/p12/d1856,,,,Sing,,,Struggle,PROPN,NNP,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Adolf,PROPN,NNP,Adolf,,EQU,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Struggle,PROPN,NNP,person.n.01,nmod:poss,Creator,en/p12/d1856,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,,,Yes,,,,,,,,
person.n.01,,Sing,1,Prs,my,PRON,PRP$,speaker,,Name,en/p12/d1856,,,,,,,,,,,,,,,,,,Yes,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2605,,,,,,,,,,,,,,,,,,,,,,,,,
make.v.06,,,,,make,VERB,VBN,silk.n.01,obl,Product,en/p12/d2605,Past,Part,,Sing,,,silk,NOUN,NN,,,,Pass,,,,,,,,,,,,
make.v.06,,,,,make,VERB,VBN,time.n.08,,Time,en/p12/d2605,Past,Part,,,,,,,,,,,Pass,,,,,,,,,,,,
