from_node_token,from_node_Case,from_node_Number,from_node_Person,from_node_PronType,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,label,doc_id,from_node_Tense,from_node_VerbForm,to_node_Case,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,from_node_Mood,to_node_Gender,to_node_Degree,from_node_Voice,to_node_NumType,to_node_Poss,from_node_NumType,to_node_Reflex,to_node_VerbForm,from_node_Degree,to_node_Tense,from_node_Gender,from_node_Poss,to_node_Mood,to_node_Voice,to_node_Foreign
time.n.08,,,,,,,,now,TPR,en/p12/d2253,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Name,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,time.n.08,Theme,en/p12/d2518,Past,Part,,,,,,,,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,entity.n.01,Time,en/p12/d2518,Past,Part,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
go.v.01,,,,,go,VERB,VBN,entity.n.01,Destination,en/p12/d2518,Past,Part,,Sing,,,Boston,PROPN,NNP,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,TPR,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Boston,PROPN,NNP,Boston,Name,en/p12/d2518,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
love.n.01,,Sing,,,love,NOUN,NN,person.n.01,Experiencer,en/p12/d0875,,,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,,
love.n.01,,Sing,,,love,NOUN,NN,you.n.01,Time,en/p12/d0875,,,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,,
love.n.01,,Sing,,,love,NOUN,NN,time.n.08,Stimulus,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d0875,,,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,Name,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,entity.n.01,Agent,en/p12/d3079,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,time.n.08,Time,en/p12/d3079,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
finish.v.01,,,,,finish,VERB,VBD,soup.n.01,Theme,en/p12/d3079,Past,Fin,,Sing,,,soup,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d3079,,,,,,,,,,,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,cow.n.01,Theme,en/p12/d1850,Pres,Fin,,Plur,,,cow,NOUN,NNS,Ind,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,time.n.08,Time,en/p12/d1850,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
abound.v.01,,Plur,,,abound,VERB,VBP,farm.n.01,Location,en/p12/d1850,Pres,Fin,,Sing,,,farm,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d1850,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,,
friend.n.01,,Sing,,,friend,NOUN,NN,old.a.01,TPR,en/p12/d0877,,,,,,,old,ADJ,JJ,,,Pos,,,,,,,,,,,,,
invite.v.01,,,,,invite,VERB,VBN,person.n.01,Theme,en/p12/d0877,Past,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,Pass,,,,,,,,,,,,
invite.v.01,,,,,invite,VERB,VBN,friend.n.01,Time,en/p12/d0877,Past,Part,,Sing,,,friend,NOUN,NN,,,,Pass,,,,,,,,,,,,
invite.v.01,,,,,invite,VERB,VBN,time.n.08,Agent,en/p12/d0877,Past,Part,,,,,,,,,,,Pass,,,,,,,,,,,,
time.n.08,,,,,,,,now,Role,en/p12/d0877,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,,
owe.v.01,,,,,owe,VERB,VBD,person.n.01,Agent,en/p12/d3517,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
owe.v.01,,,,,owe,VERB,VBD,dollar.n.01,Time,en/p12/d3517,Past,Fin,,Plur,,,dollar,NOUN,NNS,Ind,,,,,,,,,,,,,,,
owe.v.01,,,,,owe,VERB,VBD,he.n.01,Beneficiary,en/p12/d3517,Past,Fin,Acc,Sing,3,Prs,he,PRON,PRP,Ind,Masc,,,,,,,,,,,,,,
owe.v.01,,,,,owe,VERB,VBD,time.n.08,Theme,en/p12/d3517,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
dollar.n.01,,Plur,,,dollar,NOUN,NNS,thousand,TPR,en/p12/d3517,,,,,,,thousand,,CD,,,,,Card,,,,,,,,,,,
time.n.08,,,,,,,,now,Quantity,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Plur,1,Prs,we,PRON,PRP,speaker,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,person.n.01,Agent,en/p12/d3346,Pres,Fin,Nom,Plur,1,Prs,we,PRON,PRP,Ind,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,time.n.08,Time,en/p12/d3346,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,rice.n.01,Product,en/p12/d3346,Pres,Fin,,Sing,,,rice,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,,
surname.n.01,,Sing,,,surname,NOUN,NN,you.n.01,EQU,en/p12/d3237,,,,,2,Prs,you,PRON,PRP$,,,,,,Yes,,,,,,,,,,
time.n.08,,,,,,,,now,Bearer,en/p12/d3237,,,,,,,,,,,,,,,,,,,,,,,,,
pronounce.v.01,,,,,pronounce,VERB,VBN,how.r.01,Manner,en/p12/d3237,Past,Part,,,,Int,how,ADV,WRB,,,,,,,,,,,,,,,,
pronounce.v.01,,,,,pronounce,VERB,VBN,surname.n.01,Time,en/p12/d3237,Past,Part,,Sing,,,surname,NOUN,NN,,,,,,,,,,,,,,,,
pronounce.v.01,,,,,pronounce,VERB,VBN,time.n.08,Theme,en/p12/d3237,Past,Part,,,,,,,,,,,,,,,,,,,,,,,
one.n.01,,,,,one,NUM,CD,score.n.01,Theme,en/p12/d1918,,,,Sing,,,score,NOUN,NN,,,,,,,Card,,,,,,,,,
one.n.01,,,,,one,NUM,CD,time.n.08,Co-Theme,en/p12/d1918,,,,,,,,,,,,,,,,Card,,,,,,,,,
time.n.08,,,,,,,,now,Value,en/p12/d1918,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,,Sing,,,someone,PRON,NN,speaker,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,you.n.01,Agent,en/p12/d0789,Pres,Part,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,person.n.01,Time,en/p12/d0789,Pres,Part,,Sing,,,someone,PRON,NN,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,time.n.08,Theme,en/p12/d0789,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2068,,,,,,,,,,,,,,,,,,,,,,,,,
unload.v.01,,,,,unload,VERB,VBG,ship.n.01,Source,en/p12/d2068,Pres,Part,,Sing,,,ship,NOUN,NN,,,,,,,,,,,,,,,,
unload.v.01,,,,,unload,VERB,VBG,time.n.08,Time,en/p12/d2068,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
unload.v.01,,,,,unload,VERB,VBG,box.n.01,Theme,en/p12/d2068,Pres,Part,,Plur,,,box,NOUN,NNS,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d1845,,,,,,,,,,,,,,,,,,,,,,,,,
story.n.01,,Plur,,,story,NOUN,NNS,you.n.01,EQU,en/p12/d1845,,,,,2,Prs,you,PRON,PRP$,,,,,,Yes,,,,,,,,,,
feed_up.v.01,,,,,feed,VERB,VBN,person.n.01,Experiencer,en/p12/d1845,Past,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,Pass,,,,,,,,,,,,
feed_up.v.01,,,,,feed,VERB,VBN,story.n.01,Time,en/p12/d1845,Past,Part,,Plur,,,story,NOUN,NNS,,,,Pass,,,,,,,,,,,,
feed_up.v.01,,,,,feed,VERB,VBN,time.n.08,Stimulus,en/p12/d1845,Past,Part,,,,,,,,,,,Pass,,,,,,,,,,,,
time.n.08,,,,,,,,now,Creator,en/p12/d1845,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d1730,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d1730,,,,,,,,,,,,,,,,,,,,,,,,,
hate.v.01,,,,,hate,VERB,VB,person.n.01,Experiencer,en/p12/d1730,,Inf,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,,
hate.v.01,,,,,hate,VERB,VB,time.n.08,Time,en/p12/d1730,,Inf,,,,,,,,,,,,,,,,,,,,,,,
hate.v.01,,,,,hate,VERB,VB,myself.n.01,Stimulus,en/p12/d1730,,Inf,Acc,Sing,1,Prs,myself,PRON,PRP,,,,,,,,Yes,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,Name,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,entity.n.01,Theme,en/p12/d1466,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,old.a.01,Time,en/p12/d1466,,,,,,,old,ADJ,JJ,,,Pos,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,time.n.08,Co-Theme,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Quantity,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,,
jump.v.01,,,,,jump,VERB,VB,water.n.01,TSU,en/p12/d2094,,Inf,,Sing,,,water,NOUN,NN,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2094,,,,,,,,,,,,,,,,,,,,,,,,,
let.v.01,,,2,,let,VERB,VB,jump.v.01,Time,en/p12/d2094,,Fin,,,,,jump,VERB,VB,Imp,,,,,,,,Inf,,,,,,,
let.v.01,,,2,,let,VERB,VB,time.n.08,Theme,en/p12/d2094,,Fin,,,,,,,,Imp,,,,,,,,,,,,,,,
let.v.01,,,2,,let,VERB,VB,we.n.01,Destination,en/p12/d2094,,Fin,Acc,Plur,1,Prs,we,PRON,PRP,Imp,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,Name,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,entity.n.01,Agent,en/p12/d2357,Pres,Part,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,time.n.08,Time,en/p12/d2357,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,laundry.n.01,Patient,en/p12/d2357,Pres,Part,,Sing,,,laundry,NOUN,NN,,,,,,,,,,,,,,,,
laundry.n.01,,Sing,,,laundry,NOUN,NN,entity.n.01,User,en/p12/d2357,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2736,,,,,,,,,,,,,,,,,,,,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,one.n.01,AttributeOf,en/p12/d2736,,,,Sing,,,one,NOUN,NN,,,,,,,,,,Pos,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,time.n.08,Time,en/p12/d2736,,,,,,,,,,,,,,,,,,,Pos,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,person.n.01,Agent,en/p12/d0902,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,time.n.08,Time,en/p12/d0902,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,handkerchief.n.01,Patient,en/p12/d0902,Past,Fin,,Sing,,,handkerchief,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,TB,PROPN,NNP,TB,EQU,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,entity.n.01,Co-Theme,en/p12/d1394,,,,Sing,,,TB,PROPN,NNP,,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,time.n.08,Time,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,,
give.v.01,,,,,give,VERB,VBD,i.n.01,Agent,en/p12/d2699,Past,Fin,Acc,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
give.v.01,,,,,give,VERB,VBD,water.n.01,Time,en/p12/d2699,Past,Fin,,Sing,,,water,NOUN,NN,Ind,,,,,,,,,,,,,,,
give.v.01,,,,,give,VERB,VBD,time.n.08,Recipient,en/p12/d2699,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
give.v.01,,,,,give,VERB,VBD,soldier.n.01,Theme,en/p12/d2699,Past,Fin,,Sing,,,soldier,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2699,,,,,,,,,,,,,,,,,,,,,,,,,
rooster_crow.n.01,,Plur,,,crow,NOUN,NNS,time.n.08,Time,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Attribute,en/p12/d3475,,,,,,,,,,,,,,,,,,,,,,,,,
girl.n.01,,Sing,,,girl,NOUN,NN,young.a.01,EQU,en/p12/d3475,,,,,,,young,ADJ,JJ,,,Pos,,,,,,,,,,,,,
sing.v.01,,,,,sing,VERB,VBG,time.n.08,Agent,en/p12/d3475,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
sing.v.01,,,,,sing,VERB,VBG,girl.n.01,Time,en/p12/d3475,Pres,Part,,Sing,,,girl,NOUN,NN,,,,,,,,,,,,,,,,
jacket.n.01,,Sing,,,jacket,NOUN,NN,you.n.01,EQU,en/p12/d2981,,,,,2,Prs,you,PRON,PRP$,,,,,,Yes,,,,,,,,,,
where.r.01,,,,Int,where,ADV,WRB,jacket.n.01,Location,en/p12/d2981,,,,Sing,,,jacket,NOUN,NN,,,,,,,,,,,,,,,,
where.r.01,,,,Int,where,ADV,WRB,time.n.08,Theme,en/p12/d2981,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,User,en/p12/d2981,,,,,,,,,,,,,,,,,,,,,,,,,
much.a.01,,,,,much,ADJ,JJ,how.r.01,Value,en/p12/d2543,,,,,,Int,how,ADV,WRB,,,,,,,,,,Pos,,,,,,
much.a.01,,,,,much,ADJ,JJ,time.n.08,Time,en/p12/d2543,,,,,,,,,,,,,,,,,,,Pos,,,,,,
much.a.01,,,,,much,ADJ,JJ,ticket.n.01,Theme,en/p12/d2543,,,,Sing,,,ticket,NOUN,NN,,,,,,,,,,Pos,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2543,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,person.n.01,Agent,en/p12/d3026,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,yen.n.01,Time,en/p12/d3026,Past,Fin,,Plur,,,yen,NOUN,NNS,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,time.n.08,Asset,en/p12/d3026,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,atlas.n.01,Theme,en/p12/d3026,Past,Fin,,Sing,,,atlas,NOUN,NN,Ind,,,,,,,,,,,,,,,
yen.n.01,,Plur,,,yen,NOUN,NNS,2000,TPR,en/p12/d3026,,,,,,,2000,,CD,,,,,Card,,,,,,,,,,,
time.n.08,,,,,,,,now,Quantity,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2609,,,,,,,,,,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,palm_oil.n.01,Causer,en/p12/d2609,Pres,Part,,Sing,,,oil,NOUN,NN,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,time.n.08,Time,en/p12/d2609,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,rainforest.n.01,Patient,en/p12/d2609,Pres,Part,,Sing,,,rainforest,NOUN,NN,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d1641,,,,,,,,,,,,,,,,,,,,,,,,,
consider.v.01,,,,,consider,VERB,VBG,government.n.01,Agent,en/p12/d1641,Pres,Part,,Sing,,,government,NOUN,NN,,,,,,,,,,,,,,,,
consider.v.01,,,,,consider,VERB,VBG,time.n.08,Time,en/p12/d1641,Pres,Part,,,,,,,,,,,,,,,,,,,,,,,
consider.v.01,,,,,consider,VERB,VBG,tax_cut.n.01,Theme,en/p12/d1641,Pres,Part,,Plur,,,cut,NOUN,NNS,,,,,,,,,,,,,,,,
primary.n.01,,Plur,,,primary,NOUN,NNS,italian.a.01,Name,en/p12/d0761,,,,,,,Italian,ADJ,JJ,,,Pos,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,primary.n.01,Agent,en/p12/d0761,Pres,Fin,,Plur,,,primary,NOUN,NNS,Ind,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,entity.n.01,Time,en/p12/d0761,Pres,Fin,,Sing,,,Romano,PROPN,NNP,Ind,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,time.n.08,Theme,en/p12/d0761,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Romano,PROPN,NNP,Romano,EQU,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Location,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,SubOf,en/p12/d3066,,,,,,,,,,,,,,,,,,,,,,,,,
none.n.01,,Sing,,,none,NOUN,NN,ball.n.01,EQU,en/p12/d3066,,,,Plur,,,ball,NOUN,NNS,,,,,,,,,,,,,,,,
yellow.a.01,,,,,yellow,ADJ,JJ,time.n.08,ColourOf,en/p12/d3066,,,,,,,,,,,,,,,,,,,Pos,,,,,,
yellow.a.01,,,,,yellow,ADJ,JJ,none.n.01,Time,en/p12/d3066,,,,Sing,,,none,NOUN,NN,,,,,,,,,,Pos,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,EQU,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,person.n.01,Agent,en/p12/d1112,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,time.n.08,Time,en/p12/d1112,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,she.n.01,Theme,en/p12/d1112,Past,Fin,Acc,Sing,3,Prs,she,PRON,PRP,Ind,Fem,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,,2,Prs,you,PRON,PRP,speaker,EQU,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,person.n.01,Agent,en/p12/d0949,Past,Fin,Nom,,2,Prs,you,PRON,PRP,Ind,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,time.n.08,Time,en/p12/d0949,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,macaw.n.01,Theme,en/p12/d0949,Past,Fin,,Sing,,,macaw,NOUN,NN,Ind,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,TPR,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,,
parent.n.01,,Plur,,,parent,NOUN,NNS,my.n.01,Role,en/p12/d0869,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,Yes,,,,,,,,,,
china.n.01,,Sing,,,China,PROPN,NNP,parent.n.01,Theme,en/p12/d0869,,,,Plur,,,parent,NOUN,NNS,,,,,,,,,,,,,,,,
china.n.01,,Sing,,,China,PROPN,NNP,time.n.08,Source,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Name,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,Name,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
book.n.01,,Sing,,,book,NOUN,NN,time.n.08,Theme,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
book.n.01,,Sing,,,book,NOUN,NN,entity.n.01,Time,en/p12/d1856,,,,Sing,,,Adolf,PROPN,NNP,,,,,,,,,,,,,,,,
book.n.01,,Sing,,,book,NOUN,NN,struggle.n.01,Co-Theme,en/p12/d1856,,,,Sing,,,Struggle,PROPN,NNP,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Adolf,PROPN,NNP,Adolf,EQU,en/p12/d1856,,,,,,,,,,,,,,,,,,,,,,,,,
struggle.n.01,,Sing,,,Struggle,PROPN,NNP,my.n.01,Creator,en/p12/d1856,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,Yes,,,,,,,,,,
time.n.08,,,,,,,,now,EQU,en/p12/d2605,,,,,,,,,,,,,,,,,,,,,,,,,
make.v.01,,,,,make,VERB,VBN,gown.n.01,Product,en/p12/d2605,Past,Part,,Sing,,,gown,NOUN,NN,,,,Pass,,,,,,,,,,,,
make.v.01,,,,,make,VERB,VBN,time.n.08,Time,en/p12/d2605,Past,Part,,,,,,,,,,,Pass,,,,,,,,,,,,
make.v.01,,,,,make,VERB,VBN,silk.n.01,Material,en/p12/d2605,Past,Part,,Sing,,,silk,NOUN,NN,,,,Pass,,,,,,,,,,,,
time.n.08,,,,,,,,now,Name,en/p12/d2624,,,,,,,,,,,,,,,,,,,,,,,,,
entity.n.01,,Sing,,,Tom,PROPN,NNP,Tom,EQU,en/p12/d2624,,,,,,,,,,,,,,,,,,,,,,,,,
useless.a.01,,,,,useless,ADJ,JJ,time.n.08,AttributeOf,en/p12/d2624,,,,,,,,,,,,,,,,,,,Pos,,,,,,
useless.a.01,,,,,useless,ADJ,JJ,entity.n.01,Time,en/p12/d2624,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,Pos,,,,,,
person.n.01,Nom,,2,Prs,you,PRON,PRP,speaker,TPR,en/p12/d2424,,,,,,,,,,,,,,,,,,,,,,,,,
