from_node_token,from_node_Case,from_node_Number,from_node_Person,from_node_PronType,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_Tense,from_node_VerbForm,to_node_Case,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,from_node_Mood,to_node_Gender,from_node_Voice,from_node_NumType,from_node_Degree,to_node_Degree,to_node_Poss,to_node_NumType,to_node_Tense,to_node_VerbForm,from_node_Gender,from_node_Poss,to_node_Mood,to_node_Voice,to_node_Foreign
owe.v.03,,,,,owe,VERB,VBD,time.n.08,,Time,en/p12/d3517,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
owe.v.03,,,,,owe,VERB,VBD,dollar.n.01,obj,Theme,en/p12/d3517,Past,Fin,,Plur,,,dollar,NOUN,NNS,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3517,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Plur,1,Prs,we,PRON,PRP,speaker,,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,person.n.01,nsubj,Agent,en/p12/d3346,Pres,Fin,Nom,Plur,1,Prs,we,PRON,PRP,Ind,,,,,,,,,,,,,,
cultivate.v.01,,Plur,1,,cultivate,VERB,VBP,time.n.08,,Time,en/p12/d3346,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3346,,,,,,,,,,,,,,,,,,,,,,,,
one.n.01,,,,,one,NUM,CD,score.n.03,nsubj,Theme,en/p12/d1918,,,,Sing,,,score,NOUN,NN,,,,Card,,,,,,,,,,,
person.n.01,Acc,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,someone.n.01,nsubj,Agent,en/p12/d0789,Pres,Part,,Sing,,,someone,PRON,NN,,,,,,,,,,,,,,,
call.v.01,,,,,call,VERB,VBG,person.n.01,obj,Time,en/p12/d0789,Pres,Part,Acc,,2,Prs,you,PRON,PRP,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0789,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,Sing,3,,buy,VERB,VBD,male.n.02,nsubj,Agent,en/p12/d2043,Past,Fin,Nom,Sing,3,Prs,he,PRON,PRP,Ind,Masc,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2068,,,,,,,,,,,,,,,,,,,,,,,,
unload.v.02,,,,,unload,VERB,VBG,time.n.08,,Time,en/p12/d2068,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
unload.v.02,,,,,unload,VERB,VBG,box.n.01,obj,Theme,en/p12/d2068,Pres,Part,,Plur,,,box,NOUN,NNS,,,,,,,,,,,,,,,
old.a.01,,,,,old,ADJ,JJ,year.n.01,obl:npmod,Time,en/p12/d3094,,,,Plur,,,year,NOUN,NNS,,,,,Pos,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,female.n.02,nsubj,Theme,en/p12/d1466,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,
year-_man.n.01,,Sing,,,man,NOUN,NN,time.n.08,,Time,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1466,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2357,,,,,,,,,,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,female.n.02,nsubj,Agent,en/p12/d2357,Pres,Part,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,
fold.v.01,,,,,fold,VERB,VBG,time.n.08,,Time,en/p12/d2357,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
laundry.n.01,,Sing,,,laundry,NOUN,NN,female.n.02,,User,en/p12/d2357,,,,Sing,,,Tom,PROPN,NNP,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2736,,,,,,,,,,,,,,,,,,,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,one.n.01,nsubj,AttributeOf,en/p12/d2736,,,,Sing,,,one,NOUN,NN,,,,,Pos,,,,,,,,,,
expendable.a.01,,,,,expendable,ADJ,JJ,time.n.08,,Time,en/p12/d2736,,,,,,,,,,,,,,Pos,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d0902,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
irone.v.01,,Sing,1,,irone,VERB,VBD,time.n.08,,Time,en/p12/d0902,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0902,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,female.n.02,nsubj,Co-Theme,en/p12/d1394,,,,Sing,,,TB,PROPN,NNP,,,,,,,,,,,,,,,
what.n.01,,,,Int,what,PRON,WP,time.n.08,,Time,en/p12/d1394,,,,,,,,,,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,person.n.01,iobj,Time,en/p12/d2699,Past,Fin,Acc,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,water.n.06,obj,Theme,en/p12/d2699,Past,Fin,,Sing,,,water,NOUN,NN,Ind,,,,,,,,,,,,,,
rooster_crow.n.01,,Plur,,,crow,NOUN,NNS,time.n.08,,Time,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2192,,,,,,,,,,,,,,,,,,,,,,,,
girl.n.01,,Sing,,,girl,NOUN,NN,young.a.01,amod,Attribute,en/p12/d3475,,,,,,,young,ADJ,JJ,,,,,,Pos,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3475,,,,,,,,,,,,,,,,,,,,,,,,
sing.v.02,,,,,sing,VERB,VBG,time.n.08,,Time,en/p12/d3475,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d3026,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,time.n.08,,Time,en/p12/d3026,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
pay.v.01,,,,,pay,VERB,VBD,atlas.n.02,obl,Theme,en/p12/d3026,Past,Fin,,Sing,,,atlas,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3026,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2609,,,,,,,,,,,,,,,,,,,,,,,,
destroy.v.01,,,,,destroy,VERB,VBG,time.n.08,,Time,en/p12/d2609,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1641,,,,,,,,,,,,,,,,,,,,,,,,
consider.v.03,,,,,consider,VERB,VBG,time.n.08,,Time,en/p12/d1641,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
consider.v.03,,,,,consider,VERB,VBG,tax_cut.n.01,obj,Theme,en/p12/d1641,Pres,Part,,Plur,,,cut,NOUN,NNS,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Romano,PROPN,NNP,Romano,,Name,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,female.n.02,nsubj,Agent,en/p12/d0761,Pres,Fin,,Sing,,,Romano,PROPN,NNP,Ind,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,time.n.08,,Time,en/p12/d0761,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
win.v.01,,Sing,3,,win,VERB,VBZ,primary.n.01,obj,Theme,en/p12/d0761,Pres,Fin,,Plur,,,primary,NOUN,NNS,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0761,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3066,,,,,,,,,,,,,,,,,,,,,,,,
yellow.a.01,,,,,yellow,ADJ,JJ,time.n.08,,Time,en/p12/d3066,,,,,,,,,,,,,,Pos,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d1112,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
stare.v.01,,Sing,1,,stare,VERB,VBD,time.n.08,,Time,en/p12/d1112,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d1112,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d0949,Past,Fin,Nom,,2,Prs,you,PRON,PRP,Ind,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,time.n.08,,Time,en/p12/d0949,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,macaw.n.01,obj,Theme,en/p12/d0949,Past,Fin,,Sing,,,macaw,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0949,,,,,,,,,,,,,,,,,,,,,,,,
make.v.06,,Sing,3,,make,VERB,VBZ,time.n.08,,Time,en/p12/d3548,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3548,,,,,,,,,,,,,,,,,,,,,,,,
parent.n.01,,Plur,,,parent,NOUN,NNS,person.n.01,nmod:poss,Role,en/p12/d0869,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,,Yes,,,,,,,,
female.n.02,,Sing,,,China,PROPN,NNP,parent.n.01,nsubj,Theme,en/p12/d0869,,,,Plur,,,parent,NOUN,NNS,,,,,,,,,,,,,,,
female.n.02,,Sing,,,China,PROPN,NNP,time.n.08,,Time,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0869,,,,,,,,,,,,,,,,,,,,,,,,
book.n.02,,Sing,,,book,NOUN,NN,female.n.02,nmod,Time,en/p12/d1856,,,,Sing,,,Adolf,PROPN,NNP,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Struggle,PROPN,NNP,person.n.01,nmod:poss,Creator,en/p12/d1856,,,,Sing,1,Prs,my,PRON,PRP$,,,,,,,Yes,,,,,,,,
make.v.06,,,,,make,VERB,VBN,time.n.08,,Time,en/p12/d2605,Past,Part,,,,,,,,,,Pass,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2424,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2907,,,,,,,,,,,,,,,,,,,,,,,,
write_down.v.01,,,,,write,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d2907,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,
write_down.v.01,,,,,write,VERB,VBD,time.n.08,,Time,en/p12/d2907,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2907,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d0847,,,,,,,,,,,,,,,,,,,,,,,,
pleased.a.01,,,,,pleased,ADJ,JJ,time.n.08,,Time,en/p12/d0847,,,,,,,,,,,,,,Pos,,,,,,,,,,
pleased.a.01,,,,,pleased,ADJ,JJ,dress.n.01,obl,Stimulus,en/p12/d0847,,,,Sing,,,dress,NOUN,NN,,,,,Pos,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d2453,,,,,,,,,,,,,,,,,,,,,,,,
love.v.01,,,,,love,VERB,VBP,time.n.08,,Time,en/p12/d2453,Pres,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2453,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d1428,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1428,,,,,,,,,,,,,,,,,,,,,,,,
allergic.a.02,,,,,allergic,ADJ,JJ,time.n.08,,Time,en/p12/d1428,,,,,,,,,,,,,,Pos,,,,,,,,,,
allergic.a.02,,,,,allergic,ADJ,JJ,pollen.n.01,obl,Stimulus,en/p12/d1428,,,,Sing,,,pollen,NOUN,NN,,,,,Pos,,,,,,,,,,
people.n.01,,Plur,,,people,NOUN,NNS,30.n.01,nummod,Quantity,en/p12/d2098,,,,,,,30,NUM,CD,,,,,,,,Card,,,,,,,
commit.v.01,,,,,commit,VERB,VBD,time.n.08,,Time,en/p12/d2098,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
commit.v.01,,,,,commit,VERB,VBD,suicide.n.01,obj,Theme,en/p12/d2098,Past,Fin,,Sing,,,suicide,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2098,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Plur,1,Prs,we,PRON,PRP,speaker,,EQU,en/p12/d2920,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2920,,,,,,,,,,,,,,,,,,,,,,,,
close.v.01,,,,,close,VERB,VBG,person.n.01,nsubj,Agent,en/p12/d2920,Pres,Part,Nom,Plur,1,Prs,we,PRON,PRP,,,,,,,,,,,,,,,
close.v.01,,,,,close,VERB,VBG,time.n.08,,Time,en/p12/d2920,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d2381,,,,,,,,,,,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d2381,Past,Fin,,Sing,,,Tom,PROPN,NNP,Ind,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,time.n.08,,Time,en/p12/d2381,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
buy.v.01,,,,,buy,VERB,VBD,squirrelfish.n.02,obj,Theme,en/p12/d2381,Past,Fin,,Sing,,,squirrelfish,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d2381,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Tom,PROPN,NNP,Tom,,Name,en/p12/d1605,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1605,,,,,,,,,,,,,,,,,,,,,,,,
allergic.a.02,,,,,allergic,ADJ,JJ,time.n.08,,Time,en/p12/d1605,,,,,,,,,,,,,,Pos,,,,,,,,,,
allergic.a.02,,,,,allergic,ADJ,JJ,cat.n.01,obl,Stimulus,en/p12/d1605,,,,Plur,,,cat,NOUN,NNS,,,,,Pos,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2485,,,,,,,,,,,,,,,,,,,,,,,,
search.v.01,,,,,search,VERB,VBG,time.n.08,,Time,en/p12/d2485,Pres,Part,,,,,,,,,,,,,,,,,,,,,,
search.v.01,,,,,search,VERB,VBG,prisoner.n.01,obl,Theme,en/p12/d2485,Pres,Part,,Sing,,,prisoner,NOUN,NN,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Walt,PROPN,NNP,Walt,,Name,en/p12/d2370,,,,,,,,,,,,,,,,,,,,,,,,
ex-soldier.n.01,,Sing,,,ex-soldier,NOUN,NN,female.n.02,nsubj,Theme,en/p12/d2370,,,,Sing,,,Walt,PROPN,NNP,,,,,,,,,,,,,,,
ex-soldier.n.01,,Sing,,,ex-soldier,NOUN,NN,time.n.08,,Time,en/p12/d2370,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2370,,,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Calgary,PROPN,NNP,Calgary,,Name,en/p12/d1385,,,,,,,,,,,,,,,,,,,,,,,,
locate.v.01,,,,,locate,VERB,VBN,time.n.08,,Time,en/p12/d1385,Past,Part,,,,,,,,,,,,,,,,,,,,,,
agree.v.01,,Sing,3,,agree,VERB,VBZ,person.n.01,obl,Time,en/p12/d3130,Pres,Fin,Acc,,2,Prs,you,PRON,PRP,Ind,,,,,,,,,,,,,,
person.n.01,Acc,,2,Prs,you,PRON,PRP,hearer,,EQU,en/p12/d3130,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d3130,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d2497,,,,,,,,,,,,,,,,,,,,,,,,
wrong.a.01,,,,,wrong,ADJ,JJ,something.n.01,nsubj,AttributeOf,en/p12/d2497,,,,Sing,,,something,PRON,NN,,,,,Pos,,,,,,,,,,
wrong.a.01,,,,,wrong,ADJ,JJ,time.n.08,,Time,en/p12/d2497,,,,,,,,,,,,,,Pos,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d0896,,,,,,,,,,,,,,,,,,,,,,,,
fix.v.01,,,,,fix,VERB,VBN,person.n.01,nsubj,Agent,en/p12/d0896,Past,Part,Nom,Sing,1,Prs,I,PRON,PRP,,,,,,,,,,,,,,,
fix.v.01,,,,,fix,VERB,VBN,time.n.08,,Time,en/p12/d0896,Past,Part,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0896,,,,,,,,,,,,,,,,,,,,,,,,
person.n.01,Nom,Sing,1,Prs,I,PRON,PRP,speaker,,EQU,en/p12/d3331,,,,,,,,,,,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,person.n.01,nsubj,Agent,en/p12/d3331,Past,Fin,Nom,Sing,1,Prs,I,PRON,PRP,Ind,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,time.n.08,,Time,en/p12/d3331,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
give.v.03,,,,,give,VERB,VBD,sedative.n.01,obj,Theme,en/p12/d3331,Past,Fin,,Sing,,,sedative,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d3331,,,,,,,,,,,,,,,,,,,,,,,,
stop.v.02,,,,,stop,VERB,VB,ship.n.01,nsubj,Theme,en/p12/d2802,,Inf,,Sing,,,ship,NOUN,NN,,,,,,,,,,,,,,,
stop.v.02,,,,,stop,VERB,VB,time.n.08,,Time,en/p12/d2802,,Inf,,,,,,,,,,,,,,,,,,,,,,
stop.v.02,,,,,stop,VERB,VB,female.n.02,obl,Location,en/p12/d2802,,Inf,,Sing,,,Yokohama,PROPN,NNP,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Yokohama,PROPN,NNP,Yokohama,,Name,en/p12/d2802,,,,,,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,EQU,en/p12/d1544,,,,,,,,,,,,,,,,,,,,,,,,
work.v.02,,,,,work,VERB,VB,printer.n.03,nsubj,Theme,en/p12/d1544,,Inf,,Sing,,,printer,NOUN,NN,,,,,,,,,,,,,,,
work.v.02,,,,,work,VERB,VB,time.n.08,,Time,en/p12/d1544,,Inf,,,,,,,,,,,,,,,,,,,,,,
female.n.02,,Sing,,,Chris,PROPN,NNP,Chris,,Name,en/p12/d0244,,,,,,,,,,,,,,,,,,,,,,,,
swing.v.07,,,,,swing,VERB,VBD,female.n.02,nsubj,Agent,en/p12/d0244,Past,Fin,,Sing,,,Chris,PROPN,NNP,Ind,,,,,,,,,,,,,,
swing.v.07,,,,,swing,VERB,VBD,time.n.08,,Time,en/p12/d0244,Past,Fin,,,,,,,,Ind,,,,,,,,,,,,,,
swing.v.07,,,,,swing,VERB,VBD,sword.n.01,obj,Theme,en/p12/d0244,Past,Fin,,Sing,,,sword,NOUN,NN,Ind,,,,,,,,,,,,,,
time.n.08,,,,,,,,now,,TPR,en/p12/d0244,,,,,,,,,,,,,,,,,,,,,,,,
