from_node_token,from_node_Mood,from_node_Number,from_node_Person,from_node_Tense,from_node_VerbForm,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,to_node_Case,to_node_Gender,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,deprel,label,doc_id,from_node_Case,from_node_PronType,from_node_Reflex,from_node_NumType,from_node_Gender,to_node_NumType,to_node_Definite,to_node_Polarity
setzen.v.01,Ind,Sing,1,Pres,Fin,setzen,VERB,VVFIN,person.n.01,Nom,,Sing,1,Prs,ich,PRON,PPER,nsubj,Agent,de/p96/d3377,,,,,,,,
setzen.v.01,Ind,Sing,1,Pres,Fin,setzen,VERB,VVFIN,Pferd.n.01,Acc,Neut,Sing,,,Pferd,NOUN,NN,obl,Theme,de/p96/d3377,,,,,,,,
wiegen.v.01,Ind,Sing,3,Pres,Fin,wiegen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p96/d2832,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d2832,,,,,,,,
140.n.01,,,,,,140,NUM,CARD,etwa.r.01,,,,,,etwa,ADV,ADV,advmod,APX,de/p96/d2832,,,,Card,,,,
Kilogramm.n.01,,Plur,,,,Kilogramm,NOUN,NN,140.n.01,,,,,,140,NUM,CARD,nummod,Quantity,de/p96/d2832,Acc,,,,Neut,Card,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p96/d2782,,,,,,,,
lösen.v.01,,,,,Part,lösen,VERB,VVPP,Rätsel.n.01,Acc,Neut,Sing,,,Rätsel,NOUN,NN,obj,Theme,de/p96/d2782,,,,,,,,
female.n.02,,Sing,,,,Tom,PROPN,NE,Tom,,,,,,,,,,Name,de/p96/d2554,Nom,,,,Masc,,,
bießen.v.01,,,,,Part,bießen,VERB,VVPP,female.n.02,Acc,Fem,Sing,,,Mary,PROPN,NE,obj,Time,de/p96/d2554,,,,,,,,
wimmern.v.01,Ind,Sing,3,Past,Fin,wimmern,VERB,VVFIN,Schmerz.n.01,Dat,Masc,Sing,,,Schmerz,NOUN,NN,obl,Theme,de/p96/d3505,,,,,,,,
female.n.02,,Sing,,,,Gianni,PROPN,NE,Gianni,,,,,,,,,,Name,de/p79/d0763,Nom,,,,Masc,,,
Designer.n.01,,Sing,,,,Designer,NOUN,NN,female.n.02,Nom,Masc,Sing,,,Gianni,PROPN,NE,nsubj,Theme,de/p79/d0763,Nom,,,,Masc,,,
female.n.02,,Sing,,,,Marika,PROPN,NE,time.n.08,,,,,,,,,,Time,de/p79/d2941,Nom,,,,Fem,,,
verstehen.v.01,Ind,Sing,3,Pres,Fin,verstehen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p79/d0767,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p79/d0767,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p79/d0767,Acc,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p79/d3426,,,,,,,,
einfach.a.01,,,,,,einfach,ADJ,ADJD,der.n.01,Nom,Neut,Sing,,Dem,der,PRON,PDS,nsubj,AttributeOf,de/p79/d3426,,,,,,,,
einfach.a.01,,,,,,einfach,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p79/d3426,,,,,,,,
niederstechen.v.01,,,,,Part,niederstechen,VERB,VVPP,female.n.02,Nom,Masc,Sing,,,Tom,PROPN,NE,nsubj:pass,Time,de/p79/d2843,,,,,,,,
female.n.02,,Sing,,,,Marlowe,PROPN,NE,Marlowe,,,,,,,,,,Name,de/p79/d0760,Nom,,,,Masc,,,
female.n.02,,Sing,,,,Brad,PROPN,NE,Brad,,,,,,,,,,Name,de/p79/d0885,Nom,,,,Masc,,,
Schauspieler.n.01,,Sing,,,,Schauspieler,NOUN,NN,female.n.02,Nom,Masc,Sing,,,Brad,PROPN,NE,nsubj,Theme,de/p79/d0885,Nom,,,,Masc,,,
schießen.v.01,,,,,Part,schießen,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p79/d2314,,,,,,,,
female.n.02,,Sing,,,,Alaska,PROPN,NE,Alaska,,,,,,,,,,Name,de/p79/d0886,Dat,,,,Neut,,,
leben.v.01,Ind,Plur,3,Pres,Fin,leben,VERB,VVFIN,female.n.02,Dat,Neut,Sing,,,Alaska,PROPN,NE,obl,Location,de/p79/d0886,,,,,,,,
leben.v.01,Ind,Plur,3,Pres,Fin,leben,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p79/d0886,,,,,,,,
leben.v.01,Ind,Plur,3,Pres,Fin,leben,VERB,VVFIN,Million.n.01,Nom,Fem,Plur,,,Million,NOUN,NN,nsubj,Theme,de/p79/d0886,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p79/d0886,,,,,,,,
Lauf.n.01,,Sing,,,,Lauf,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p79/d2415,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p79/d2415,,,,,,,,
schießen.v.01,Ind,Sing,3,Past,Fin,schießen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p98/d3299,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p98/d3299,,,,,,,,
auszählen.v.01,,,,,Part,auszählen,VERB,VVPP,female.n.02,Nom,Masc,Sing,,,Jim,PROPN,NE,nsubj:pass,Time,de/p98/d2990,,,,,,,,
treffen|triefen.v.01,,,,,Part,treffen|triefen,VERB,VVPP,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p98/d2756,,,,,,,,
treffen|triefen.v.01,,,,,Part,treffen|triefen,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p98/d2756,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p98/d2769,,,,,,,,
neugierig.a.01,,,,,,neugierig,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p98/d2769,,,,,,,,
neugierig.a.01,,,,,,neugierig,ADJ,ADJD,sehr.r.01,,,,,,sehr,ADV,ADV,advmod,Degree,de/p98/d2769,,,,,,,,
female.n.02,,Sing,,,,Maria,PROPN,NE,Maria,,,,,,,,,,Name,de/p98/d3320,Acc,,,,Fem,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p98/d2275,,,,,,,,
lang.a.01,,,,,,lang,ADJ,ADJD,Haar.n.01,Nom,Neut,Plur,,,Haar,NOUN,NN,nsubj,AttributeOf,de/p98/d2275,,,,,,,,
lang.a.01,,,,,,lang,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p98/d2275,,,,,,,,
ernennen.v.01,Ind,Sing,3,Past,Fin,ernennen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p98/d3055,,,,,,,,
ernennen.v.01,Ind,Sing,3,Past,Fin,ernennen,VERB,VVFIN,Vorsitzende.n.01,Nom,Masc,Sing,,,Vorsitzende,NOUN,NN,nsubj,Theme,de/p98/d3055,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p98/d3055,,,,,,,,
befestigt.v.01,Ind,Sing,3,Past,Fin,befestigt,VERB,VVFIN,Drache.n.01,Dat,Masc,Sing,,,Drache,NOUN,NN,obl,Theme,de/p98/d3003,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p98/d1717,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p98/d1717,Nom,Prs,,,,,,
female.n.02,,Sing,,,,Ken.,PROPN,NE,Ken.,,,,,,,,,,Name,de/p98/d1717,Acc,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p98/d3125,,,,,,,,
adoptieren.v.01,,,,,Part,adoptieren,VERB,VVPP,Kind.n.01,Acc,Neut,Sing,,,Kind,NOUN,NN,obj,Theme,de/p98/d3125,,,,,,,,
tragen.v.01,Ind,Sing,3,Past,Fin,tragen,VERB,VVFIN,Brille.n.01,Acc,Fem,Sing,,,Brille,NOUN,NN,obj,Theme,de/p98/d2278,,,,,,,,
gewinnen.v.01,Ind,Sing,3,Past,Fin,gewinnen,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p65/d2342,,,,,,,,
gewinnen.v.01,Ind,Sing,3,Past,Fin,gewinnen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p65/d2342,,,,,,,,
gewinnen.v.01,Ind,Sing,3,Past,Fin,gewinnen,VERB,VVFIN,Goldmedaille.n.01,Acc,Fem,Sing,,,Goldmedaille,NOUN,NN,obj,Theme,de/p65/d2342,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p65/d2342,,,,,,,,
leiden.v.01,Ind,Sing,3,Pres,Fin,leiden,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p65/d0811,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p65/d0811,,,,,,,,
sparen.v.01,,,,,Part,sparen,VERB,VVPP,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p65/d2212,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d2662,,,,,,,,
verblüffen.a.01,,,,,,verblüffen,ADJ,ADJD,völlig.r.01,,,,,,völlig,ADV,ADJD,advmod,Degree,de/p64/d2662,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d1817,,,,,,,,
entkommen.v.01,Ind,Plur,3,Pres,Fin,entkommen,VERB,VVFIN,Gefangene.n.01,Nom,,Plur,,,Gefangene,NOUN,NN,nsubj,Theme,de/p64/d3243,,,,,,,,
entkommen.v.01,Ind,Plur,3,Pres,Fin,entkommen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p64/d3243,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d3243,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p64/d2486,Nom,Prs,,,,,,
Detektiv.n.01,,Sing,,,,Detektiv,NOUN,NN,person.n.01,Nom,,Sing,1,Prs,ich,PRON,PPER,nsubj,Theme,de/p64/d2486,Acc,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d3246,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d2242,,,,,,,,
sterben.v.01,,,,,Part,sterben,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p64/d2139,,,,,,,,
female.n.02,,Sing,,,,WEDCOR,PROPN,NE,WEDCOR,,,,,,,,,,Name,de/p64/d0712,Dat,,,,Fem,,,
arbeiten.v.01,Ind,Sing,3,Past,Fin,arbeiten,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p64/d0712,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p64/d0712,,,,,,,,
female.n.02,,Sing,,,,Beverly,PROPN,NE,Beverly,,,,,,,,,,Name,de/p64/d0712,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d0885,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p64/d0885,Nom,Prs,,,,,,
schnüffeln.v.01,Ind,Sing,3,Past,Fin,schnüffeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p64/d2006,,,,,,,,
schnüffeln.v.01,Ind,Sing,3,Past,Fin,schnüffeln,VERB,VVFIN,Boden.n.01,Dat,Masc,Sing,,,Boden,NOUN,NN,obl,Theme,de/p64/d2006,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p64/d2006,,,,,,,,
glauben.v.01,Ind,Sing,3,Pres,Fin,glauben,VERB,VVFIN,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p64/d2963,,,,,,,,
glauben.v.01,Ind,Sing,3,Pres,Fin,glauben,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p64/d2963,,,,,,,,
glauben.v.01,Ind,Sing,3,Pres,Fin,glauben,VERB,VVFIN,Erderwärmung.n.01,Acc,Fem,Sing,,,Erderwärmung,NOUN,NN,obl,Theme,de/p64/d2963,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d2963,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d2209,,,,,,,,
stinkreich.a.01,,,,,,stinkreich,ADJ,ADJD,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,AttributeOf,de/p64/d2209,,,,,,,,
stinkreich.a.01,,,,,,stinkreich,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p64/d2209,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d1954,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p64/d1954,Nom,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p64/d3032,,,,,,,,
vertiefen.a.01,,,,,Part,vertiefen,ADJ,VVPP,time.n.08,,,,,,,,,,Time,de/p64/d3032,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d1984,,,,,,,,
vermieten.v.01,,,,,Part,vermieten,VERB,VVPP,Wohnung.n.01,Acc,Fem,Sing,,,Wohnung,NOUN,NN,obj,Theme,de/p38/d1984,,,,,,,,
behandeln.v.01,Ind,Plur,3,Past,Fin,behandeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p38/d2335,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p38/d2335,,,,,,,,
hassen.v.01,Ind,Sing,3,Pres,Fin,hassen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p38/d3468,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d3468,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d3381,,,,,,,,
schalden.v.01,Ind,Sing,1,Pres,Fin,schalden,VERB,VVFIN,person.n.01,Acc,,Sing,1,Prs,du,PRON,PRF,obj,Time,de/p38/d3381,,,,,,,,
person.n.01,,Sing,1,,,du,PRON,PRF,speaker,,,,,,,,,,EQU,de/p38/d3381,Acc,Prs,,,,,,
Biene.n.01,,Plur,,,,Biene,NOUN,NN,Hornisse.n.01,Dat,Neut,Plur,,,Hornisse,NOUN,NN,conj,Sub,de/p38/d2805,Dat,,,,Fem,,,
Biene.n.01,,Plur,,,,Biene,NOUN,NN,Wespen.n.01,Dat,Masc,Plur,,,Wespen,NOUN,NN,conj,Sub,de/p38/d2805,Dat,,,,Fem,,,
warten.v.01,,,,,Inf,warten,VERB,VVINF,time.n.08,,,,,,,,,,Time,de/p38/d1424,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d2835,,,,,,,,
zehn.n.01,,,,,,zehn,NUM,CARD,ungefähr.r.01,,,,,,ungefähr,ADV,ADV,advmod,APX,de/p38/d3440,,,,Card,,,,
Leute.n.01,,Plur,,,,Leute,NOUN,NN,zehn.n.01,,,,,,zehn,NUM,CARD,nummod,Quantity,de/p38/d3440,Nom,,,,,Card,,
warten.v.01,,,,,Inf,warten,VERB,VVFIN,Leute.n.01,Nom,,Plur,,,Leute,NOUN,NN,nsubj,Theme,de/p38/d3440,,,,,,,,
warten.v.01,,,,,Inf,warten,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p38/d3440,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d3440,,,,,,,,
stinken.v.01,Ind,Plur,3,Pres,Fin,stinken,VERB,VVFIN,Socke.n.01,Nom,Masc,Plur,,,Socke,NOUN,NN,nsubj,Theme,de/p38/d0919,,,,,,,,
stinken.v.01,Ind,Plur,3,Pres,Fin,stinken,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p38/d0919,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d0919,,,,,,,,
fressen.v.01,Ind,Plur,3,Pres,Fin,fressen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p38/d3148,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p38/d3148,,,,,,,,
wiegen.v.01,Ind,Sing,3,Pres,Fin,wiegen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p16/d1892,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d1892,,,,,,,,
300.n.01,,,,,,300,NUM,CARD,ungefähr.r.01,,,,,,ungefähr,ADV,ADV,advmod,APX,de/p16/d1892,,,,Card,,,,
Pfund.n.01,,Plur,,,,Pfund,NOUN,NN,300.n.01,,,,,,300,NUM,CARD,nummod,Quantity,de/p16/d1892,Acc,,,,Masc,Card,,
retten.v.01,,,,,Part,retten,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p16/d1542,,,,,,,,
Autofahrer.n.01,,Sing,,,,Autofahrer,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p16/d2258,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d2258,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d2488,,,,,,,,
giftig.a.01,,,,,,giftig,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p16/d2488,,,,,,,,
giftig.a.01,,,,,,giftig,ADJ,ADJD,Wespen.n.01,Nom,Fem,Plur,,,Wespen,NOUN,NN,nsubj,AttributeOf,de/p16/d2488,,,,,,,,
klopfen.v.01,Ind,Sing,3,Pres,Fin,klopfen,VERB,VVFIN,jemand.n.01,Nom,,Sing,,Ind,jemand,PRON,PIS,nsubj,Agent,de/p16/d0902,,,,,,,Ind,
klopfen.v.01,Ind,Sing,3,Pres,Fin,klopfen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p16/d0902,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d0902,,,,,,,,
Wasservogel.n.01,,Sing,,,,Wasservogel,NOUN,NN,Gan.n.01,Nom,Fem,Sing,,,Gan,NOUN,NN,nsubj,Theme,de/p16/d1531,Nom,,,,Masc,,,
Wasservogel.n.01,,Sing,,,,Wasservogel,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p16/d1531,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d1531,,,,,,,,
heiraten.v.01,,,,,Part,heiraten,VERB,VVPP,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p16/d0837,,,,,,,,
heiraten.v.01,,,,,Part,heiraten,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p16/d0837,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d2861,,,,,,,,
kopieren.v.01,,,,,Part,kopieren,VERB,VVPP,Dokument.n.01,Acc,Neut,Sing,,,Dokument,NOUN,NN,obj,Theme,de/p16/d2888,,,,,,,,
hinrichten.v.01,,,,,Part,hinrichten,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p16/d2072,,,,,,,,
winken_zu.v.01,Ind,Sing,3,Past,Fin,winken,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p16/d2648,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p16/d2648,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p16/d2802,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p16/d2802,Nom,Prs,,,,,,
krechen.v.01,Ind,Sing,3,Past,Fin,krechen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p16/d3038,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p16/d3038,,,,,,,,
werfen_zu.v.01,Ind,Sing,3,Past,Fin,werfen,VERB,VVFIN,Schlüssel.n.01,Acc,Masc,Plur,,,Schlüssel,NOUN,NN,obj,Theme,de/p53/d3477,,,,,,,,
female.n.02,,Sing,,,,Maria,PROPN,NE,Maria,,,,,,,,,,Name,de/p53/d3477,Nom,,,,Fem,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p53/d1950,,,,,,,,
verrücken.a.01,,,,,,verrücken,ADJ,ADJD,der.n.01,Nom,Neut,Sing,,Dem,der,PRON,PDS,nsubj,AttributeOf,de/p53/d1950,,,,,,,,
verrücken.a.01,,,,,,verrücken,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p53/d1950,,,,,,,,
verrücken.a.01,,,,,,verrücken,ADJ,ADJD,total.v.02,,,,,,total,ADV,ADJD,advmod,Degree,de/p53/d1950,,,,,,,,
ertönen.v.01,Ind,Sing,3,Past,Fin,ertönen,VERB,VVFIN,Pfiff.n.01,Nom,Masc,Sing,,,Pfiff,NOUN,NN,nsubj,Theme,de/p53/d2221,,,,,,,,
ertönen.v.01,Ind,Sing,3,Past,Fin,ertönen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p53/d2221,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p53/d2221,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p53/d3455,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p53/d3455,Nom,Prs,,,,,,
treten.v.01,,,,,Part,treten,VERB,VVPP,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p53/d2341,,,,,,,,
treten.v.01,,,,,Part,treten,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p53/d2341,,,,,,,,
Spinnenbiss.n.01,,Sing,,,,Spinnenbiss,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p53/d2193,Nom,,,,Neut,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p53/d2193,,,,,,,,
female.n.02,,Sing,,,,Maria,PROPN,NE,Maria,,,,,,,,,,Name,de/p53/d1656,Acc,,,,Fem,,,
spielen.v.01,Ind,Plur,3,Pres,Fin,spielen,VERB,VVFIN,person.n.01,Nom,,Plur,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p48/d2211,,,,,,,,
spielen.v.01,Ind,Plur,3,Pres,Fin,spielen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p48/d2211,,,,,,,,
spielen.v.01,Ind,Plur,3,Pres,Fin,spielen,VERB,VVFIN,Schach.n.01,Acc,Masc,Sing,,,Schach,NOUN,NN,obj,Theme,de/p48/d2211,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p48/d2211,,,,,,,,
female.n.02,,Sing,,,,Jorge,PROPN,NE,Jorge,,,,,,,,,,Name,de/p48/d1391,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p48/d3346,,,,,,,,
vertiefen.a.01,,,,,Part,vertiefen,ADJ,VVPP,time.n.08,,,,,,,,,,Time,de/p48/d3346,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p48/d3532,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p48/d3532,Nom,Prs,,,,,,
female.n.02,,Sing,,,,Tom,PROPN,NE,Tom,,,,,,,,,,Name,de/p48/d3446,Nom,,,,Masc,,,
